row index,Project,State/ Province,Country,Principal Deposit type,Total Mineral Resource Mt (Tonnes of Million),Column 6,Column 7
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,Yb ppm,10.0
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,Y ppm,200.98492450018531
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,La ppm,518.2023875829918
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Ce ppm,1052.4240325922426
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Pr ppm,131.95821851889468
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Nd ppm,478.1715049199361
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Sm ppm,107.30572808250894
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Eu ppm,13.960207213853677
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Gd ppm,107.95682109865312
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Tb ppm,19.88402358026476
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Dy ppm,132.13498577279233
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Ho ppm,28.466103047005543
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Er ppm,91.32883790563794
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Tm ppm,14.154142082111855
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Yb ppm,85.37550595438252
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Lu ppm,11.821800328953826
120,Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,Y ppm,726.5534070236756
121,Two Tom,Labrador,Canada,Alkaline,44.3,La ppm,2336.341538272666
121,Two Tom,Labrador,Canada,Alkaline,44.3,Ce ppm,4431.043139166464
121,Two Tom,Labrador,Canada,Alkaline,44.3,Pr ppm,461.41167909768967
121,Two Tom,Labrador,Canada,Alkaline,44.3,Nd ppm,1543.2239657631956
121,Two Tom,Labrador,Canada,Alkaline,44.3,Sm ppm,267.32966276668964
121,Two Tom,Labrador,Canada,Alkaline,44.3,Eu ppm,25.90816094566947
121,Two Tom,Labrador,Canada,Alkaline,44.3,Gd ppm,164.84137931034482
121,Two Tom,Labrador,Canada,Alkaline,44.3,Tb ppm,17.376045481878315
121,Two Tom,Labrador,Canada,Alkaline,44.3,Dy ppm,69.70509383378017
121,Two Tom,Labrador,Canada,Alkaline,44.3,Ho ppm,8.729688244323295
121,Two Tom,Labrador,Canada,Alkaline,44.3,Er ppm,17.49032730314755
121,Two Tom,Labrador,Canada,Alkaline,44.3,Yb ppm,8.781973203410475
