Deposit,Country,Primary Deposit Type,Secondary Deposit Type,Mt ore,%Pb,%Zn
Nash Creek,Canada,VMS,,9.0196,0.5459697769,2.711939554
Nepisiguit,Canada,VMS,,7.560272,0.381,1.522
New Moon,Canada,Epithermal,Low sulfidation,0.688712,1.82,5.51
Ox-C,Canada,Epithermal,,0.216822,2.85,4.63
Packsack,Canada,VMS,,2.7,0.01,0.2
PD1,Canada,VMS,,1.55,,4.723225806
Peak,Canada,Epithermal,,0.00263,14.0,
Peso (Rex),Canada,Intrusion-related,,0.139371,3.7,
Pick Lake,Canada,VMS,,1.287,,15.06
Pine Point Group,Canada,Sediment-hosted Pb-Zn,MVT,25.278,0.8792230398,2.57246222
Plata,Canada,Epithermal,,0.312,2.5,2.5
Point Leamington,Canada,VMS,,19.367,0.02,1.63
Polaris,Canada,Sediment-hosted Pb-Zn,MVT,5.9,4.040677966,15.60338983
Porter-Idaho,Canada,Epithermal,,0.8264,5.0,5.0
Portland Canal,Canada,Epithermal,,0.147487,2.776060263,0.3977923478
Prairie Creek,Canada,Sediment-hosted Pb-Zn,MVT,11.67,10.91808055,12.77563839
Premier Camp,Canada,Epithermal,,0.359492,4.834540212,
Rea / Extra High,Canada,VMS,,0.375,4.8,6.1
Red Bird,Canada,Sediment-hosted Pb-Zn,MVT,2.17704,6.5,18.5
Remac,Canada,Sediment-hosted Pb-Zn,Sedex,5.8,0.98,3.42
Ribago,Canada,VMS,,0.48,,7.97
River Jordan,Canada,Sediment-hosted Pb-Zn,Sedex,2.605826,5.1,5.6
Robb Lake (Barrier),Canada,Sediment-hosted Pb-Zn,MVT,20.13762,1.666666667,3.333333333
Rochon Lake,Canada,VMS,,1.0,,2.06
Rock and Roll,Canada,VMS,,2.313918,0.21,0.88
Romer-Frederickson Lake,Canada,VMS,,0.2531088,,4.38
Romer-Jimmick Lake,Canada,VMS,,0.0988848,0.61,5.2
Romer-Koke,Canada,VMS,,0.961632,1.03,6.86
Romer-Soucy #1,Canada,VMS,,4.935168,,1.8
Ruddock Creek,Canada,Sediment-hosted Pb-Zn,Sedex,15.131,1.15957901,5.894476902
Ruth-Vermont,Canada,Epithermal,,0.273944,5.4,4.8
Ruttan,Canada,VMS,,22.263781,,1.33
Sä Dena Hes (Mt Hundere),Canada,Skarn-manto,,2.19,2.6,10.4
Salerno Lake,Canada,Sediment-hosted Pb-Zn,,1.5,,5.7
Salmo,Canada,Sediment-hosted Pb-Zn,MVT,0.036287,0.1,4.1
Scotia (BC),Canada,VMS,,1.34,0.4,3.8
Scotia-Gays River,Canada,Sediment-hosted Pb-Zn,MVT,11.522,1.630755945,2.968013366
Scotia-Getty,Canada,Sediment-hosted Pb-Zn,MVT,5.32,1.469981203,1.847462406
Scott Lake,Canada,VMS,,5.447,,4.6
Seneca,Canada,Epithermal,,1.506239,0.15,3.57
