row index,Country,Project,Status,Location Lat,Location Long,Mine Type,Company,Economic Mineralogy,Principal Process,Column 9,Mt,Column 11,Column 12
16,Philippines,Alpha,Care & Maint.,,,OC,DMCI Mining Corp,,DSO,Inferred,0.293,%Fe,19.1
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Measured,102.8,%Cu,0.019601167315175094
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Measured,102.8,g/t Au,0.06909530155642024
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Measured,102.8,%Ni,0.1409727626459144
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Measured,102.8,g/t Pt,3.358568443579767
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Measured,102.8,g/t Pd,1.5444746692607008
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Measured,102.8,g/t Rh,0.5659452431906615
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Measured,102.8,%Cr,18.655150954295884
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Indicated,51.199999999999996,%Cu,0.032421874999999996
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Indicated,51.199999999999996,g/t Au,0.11020453124999999
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Indicated,51.199999999999996,%Ni,0.155625
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Indicated,51.199999999999996,g/t Pt,3.65353328125
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Indicated,51.199999999999996,g/t Pd,1.679052421875
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Indicated,51.199999999999996,g/t Rh,0.533928515625
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Indicated,51.199999999999996,%Cr,14.695269172318971
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Inferred,21.8,%Cu,0.05174311926605505
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Inferred,21.8,g/t Au,0.16217266055045873
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Inferred,21.8,%Ni,0.17770642201834863
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Inferred,21.8,g/t Pt,3.7055919266055044
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Inferred,21.8,g/t Pd,1.7014451376146789
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Inferred,21.8,g/t Rh,0.42400128440366974
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Inferred,21.8,%Cr,8.727592109933612
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Proven,49.5,%Cu,0.015656565656565657
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Proven,49.5,g/t Au,0.04419080808080809
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Proven,49.5,%Ni,0.13646464646464646
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Proven,49.5,g/t Pt,2.6769670707070703
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Proven,49.5,g/t Pd,1.2313635353535355
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Proven,49.5,g/t Rh,0.47646848484848486
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Proven,49.5,%Cr,19.873504623147728
17,South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,Probable,13.600000000000001,%Cu,0.03470588235294118
