Project,State/ Province,Country,Principal Deposit type,Total Mineral Resource Mt (Tonnes of Million),La ppm,Ce ppm,Pr ppm,Nd ppm,Sm ppm,Eu ppm,Gd ppm,Tb ppm,Dy ppm,Ho ppm,Er ppm,Tm ppm,Yb ppm,Lu ppm,Y ppm,Sc ppm
Mrima Hill,,Kenya,Carbonatite,159.4,8657.572166225213,14134.836186210108,1428.319443119538,4968.79014653739,696.8981456615095,196.0617145792516,502.78906675896684,61.734728564379836,307.91263148334406,53.857357066185514,133.33960596249318,16.636448452806718,90.18601653276522,12.311303211539427,1516.8410294938722,
Ruri Complex,,Kenya,Carbonatite,3.75,,,,,,,,,,,,,,,,
Kutessay II,Chui,Kyrgyzstan,Alkaline,18.011,367.7958892694997,437.35487014040814,84.00413664282229,181.7867295603932,91.11559794591835,5.111362811600298,79.781706494109,34.44614068687157,136.45116375315578,12.667290446139868,72.22577885956943,5.555829143043803,73.11471152245643,11.111658286087605,594.0292519742433,
Sarysai,,Kyrgyzstan,Carbonatite,7.0,,,,,,,,,,,,,,,,
AK-Tyuz,,Kyrgyzstan,Granites and Granitic Pegmatites,15.0,,,,,,,,,,,,,,,,
Karajilga,,Kyrgyzstan,Granites and Granitic Pegmatites,0.957,,,,,,,,,,,,,,,,
Tantalus,,Madagascar,Laterite / Soil / Clay,435.0,144.9554969001289,264.66731659761155,29.906312534109514,98.59486447931526,18.10942876806607,2.1590134121391227,14.74896551724138,2.258885912644181,13.06970509383378,2.7062033557402216,7.870647286416396,1.1382833151920386,7.02557856272838,1.1431924410715184,74.80621047597116,
Songwe Hill,,Malawi,Carbonatite,56.489999999999995,2442.3957453905346,4433.972300058759,475.3331685481706,1636.2188343839784,240.59639117801825,63.003443467554526,150.85203166871162,18.443707968470623,88.37934019497152,14.526454676130891,34.53000544025277,4.556264287766381,24.92407632967925,3.472215286313468,372.8588925678864,
Kangankunde,,Malawi,Carbonatite,2.53,10773.774673132404,17991.230416768223,1702.7799890849556,5089.209700427961,383.91988988300074,69.57204819277108,132.42835862068964,25.786051495107422,295.54959785522794,3.701387815593077,3.7079493882672803,3.7125548126263412,,,3.3387192886117654,
Chilwa Island,,Malawi,Carbonatite,0.375,,,,,,,,,,,,,,,,
Tundulu,,Malawi,Carbonatite,3.225,,,,,,,,,,,,,,,,
Bou Naga,,Mauritania,Carbonatite,0.1,,,,,,,,,,,,,,,,
Khaldzan-Buregtey,,Mongolia,Alkaline,425.0,,,,,,,,,,,,,,,,
Mushagai Khudag (Mushugay-Khuduk),,Mongolia,Carbonatite,367.0,,,,,,,,,,,,,,,,
Lugin Gol,,Mongolia,Carbonatite,0.72,,,,,,,,,,,,,,,,
Xiluvo,,Mozambique,Carbonatite ,1.1,,,,,,,,,,,,,,,,
Congolone,,Mozambique,Heavy Mineral Sands,167.0,,,,,,,,,,,,,,,,
Marrua,,Mozambique,Heavy Mineral Sands,54.0,,,,,,,,,,,,,,,,
Mpitini,,Mozambique,Heavy Mineral Sands,287.0,,,,,,,,,,,,,,,,
Mualadi,,Mozambique,Heavy Mineral Sands,327.0,,,,,,,,,,,,,,,,
Namalope,,Mozambique,Heavy Mineral Sands,696.0,,,,,,,,,,,,,,,,
Nataka,,Mozambique,Heavy Mineral Sands,6245.0,,,,,,,,,,,,,,,,
Pilivili,,Mozambique,Heavy Mineral Sands,227.0,,,,,,,,,,,,,,,,
Quinga North,,Mozambique,Heavy Mineral Sands,71.0,,,,,,,,,,,,,,,,
Quinga South,,Mozambique,Heavy Mineral Sands,71.0,,,,,,,,,,,,,,,,
Ondurukurme Complex,,Nambia,Carbonatite,8.0,,,,,,,,,,,,,,,,
Sæteråsen,,Norway,Alkaline,8.0,,,,,,,,,,,,,,,750.0,
Misværdalen,,Norway,Alkaline,30.0,,,,,,,,,,,,,,,,
Kodal,,Norway,Alkaline,48.9,,,,,,,,,,,,,,,,
Fen,,Norway,Carbonatite,486.0,,,,,,,,,,,,,,,,
Gloserhei,,Norway,Granites and Granitic Pegmatites,4.0,,,,,,,,,,,,,,,,
Høgtuva,,Norway,Granites and Granitic Pegmatites,0.35,,,,,,,,,,,,,,,,
Tysfjord,,Norway,Granites and Granitic Pegmatites,100.0,,,,,,,,,,,,,,,,
Biggejav'ri,,Norway,Hydrothermal Undifferentiated,0.05,,,,,,,,,,,,,,,,
