Deposit,Country,Primary Deposit Type,Secondary Deposit Type,,Company,Source,Mt ore,%Zn
Komaganskoe,Russia,VMS,,NC,unknown,"Herrington et al, 2005",0.5,0.85
Korbalikhinskoye,Russia,VMS,,NC,unknown,Min Deps Northeast Asia,24.5,9.8
Krasnogvardeyskoe,Russia,VMS,,NC,unknown,"Herrington et al, 2005",14.1,0.73
Letnye,Russia,VMS,,NC,unknown,"Herrington et al, 2005",6,1.2
Limonitovoye,Russia,Sediment-hosted Pb-Zn,,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,80,1.9
Mauk,Russia,VMS,,NC,unknown,"Herrington et al, 2005",3,1.7
Nazarovskoe,Russia,Skarn,,C,MBC Corp,Website (2015-04-24),5.08,7.48
Novoshirokinskoye,Russia,Skarn/Epithermal?,,C,Highland Gold,Ann Rep 2013,7.391,1.1
Noyon-Tologoisky,Russia,Skarn,,NC,Baojin Mining (ILZSG db?),Min Deps Northeast Asia,14,1.55
Ozernoe (Ozerny),Russia,Sediment-hosted Pb-Zn,Sedex,C,MBC Corp,Website (2015-04-24),135.06,6.12
Pavlovskoye,Russia,Sediment-hosted Pb-Zn,MVT,NC,"Rosatom, Atomredmetzoloto (ARMZ)",ILZSG database (2016-07-12),21.4,9.2
Perevalnoye,Russia,Epithermal?,Low sulfidation?,C,Polymetal RU,Ann Rep 2012,1.17,2.4
Podolskoe,Russia,VMS,,NC,unknown,"Herrington et al, 2005",80.8,1.75
Safyanovka,Russia,VMS,,NC,unknown,"Herrington et al, 2005",18.2,0.86
Salairskoye,Russia,VMS,,NC,unknown,Min Deps Northeast Asia,25,2.42
Sardana,Russia,Sediment-hosted Pb-Zn,MVT,C,Summa Group,Website (2016-07-14),18.3,10.4
Sibay,Russia,VMS,,NC,unknown,"Herrington et al, 2005",110,0.4
Tarnyerskoe,Russia,VMS,,NC,unknown,"Herrington et al, 2005",9.1,4.24
Tuva / Kyzyl-Tash Turk,Russia,VMS,,C,Zijin Mining,Website (2014-01-12),12.92,10
Uchaly,Russia,VMS,,NC,unknown,"Herrington et al, 2005",113,3.73
Urultun,Russia,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),23,6.74
Uzelga,Russia,VMS,,NC,unknown,"Herrington et al, 2005",69,2.9
Yaman Kasy,Russia,VMS,,NC,unknown,"Herrington et al, 2005",2.3,5.56
Yubilenoe (VMS Cu-Zn),Russia,VMS,,NC,unknown,"Herrington et al, 2005",106,1
Zimnyee,Russia,VMS,,NC,unknown,"Herrington et al, 2005",12.5,0.87
Al Masane-Al Kobra (AMAK),Saudi Arabia,VMS,,C,"AMAK, Trecora Res. (formerly Arabian American Devt Co)",Tech Rep (2009-09) (Trecora),10.04,4.42
Jabal Dhaylan,Saudi Arabia,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),1.2,5.6
Jabal Sayid-Citadel (Lode 1 only),Saudi Arabia,VMS,,C,Barrick Gold (formerly Equinox Res.),Ann Rep 2010 (Equinox),17.3,2.3
Khnaiguiyah (1-2),Saudi Arabia,VMS,,C,"Alara-50%, United Arabian Mining Company (Manajem)-50%",Ann Rep 2013,29.64,3.87
Chadine,Serbia,VMS,,NC,Aurasian Minerals,Website (2016-05-19),7.7,2.6
Parlozi,Serbia,Epithermal,,NC,Rosita Mining,Tech Rep (2014-04),6.5,2.12
Tenka,Serbia,Sediment-hosted Pb-Zn,MVT,NC,unknown,Armstrong et al (2005),4,6.7
Black Mountain-Deeps/Broken Hill,South Africa,Sediment-hosted Pb-Zn,Sedex,C,Vedanta,Ann Rep 2013-14,25.9,2.62
Black Mountain-Gamsberg,South Africa,Sediment-hosted Pb-Zn,Sedex,C,Vedanta,Ann Rep 2013-14,214.3,6.67
Black Mountain-Swartberg,South Africa,Sediment-hosted Pb-Zn,,C,Vedanta,Ann Rep 2013-14,46,0.54
Bushy Park,South Africa,Sediment-hosted Pb-Zn,MVT,NC,unknown,Wheatley et al 1986,0.63,3.3
Pering,South Africa,Sediment-hosted Pb-Zn,MVT,C,Minéro Zinc,"Fin. Summary (Pering Base Metals Pty Ltd, 2010-12)",347.77,0.37
Salt River-Graafwater East/West,South Africa,VMS,,C,Thabex,Website (2014-01-12),14.91,3.04
Salt River-Hartebeest Vlei,South Africa,VMS,,C,Thabex,Website (2014-01-12),1.13,0.64
Salt River-Main,South Africa,VMS,,C,Thabex,Website (2014-01-12),26.01,1.76
Yeonwha 1,South Korea,Skarn,,NC,Woulfe Mining Corp,Website (2014-12-10),7.2,4.8
Aguas Teñidas,Spain,VMS,,C,Iberian Minerals,Tech Rep (2009-09),38.12,3.4
Cobre Las Cruces,Spain,VMS,,C,First Quantum,Ann Info Form 2013,40.71,2.45
Lomero-Poyatos,Spain,VMS,,C,Petaquilla Minerals,Tech Rep (2012-05),30.35,2.35
Masa Valverde,Spain,VMS,,C,Cambridge Mineral Resources,"Pres. (undated, website 2014-01-12)",134.1,1.1
Santa Barbara,Spain,Sediment-hosted Pb-Zn,Sedex,NC,Lundin Mining,ILZSG database (2016-03-02),5,8.9
Toral,Spain,Mesothermal Vein,,C,Portex Minerals,Tech Rep (2012-08),22.7,4.16
Abu Samar,Sudan,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),3.6,4.9
Hassaï,Sudan,VMS,,C,Weatherly Investments II (formerly La Mancha),Tech Rep (2012-08; La Mancha),117.06,0.67
Barsele (Norra),Sweden,VMS/Epithermal,,C,Orex Minerals,Tech Rep (2012-11),0.54,0.46
Boliden-Kristineberg,Sweden,VMS/Epithermal,High to intermediate sulfidation,C,Boliden,Ann Rep 2013,12.61,5.2
Boliden-Maurliden,Sweden,VMS,,C,Boliden,Ann Rep 2013,2.81,3.5
Boliden-Maurliden Östra,Sweden,VMS,,C,Boliden,Ann Rep 2013,0.56,0.1
Boliden-Petiknäs N,Sweden,VMS,,C,Boliden,Ann Rep 2013,2.23,1.8
Boliden-Renström,Sweden,VMS,,C,Boliden,Ann Rep 2013,7.68,7.1
Garpenberg,Sweden,VMS,,C,Boliden,Ann Rep 2013,74.4,3.9
Häggån,Sweden,Sediment-hosted Pb-Zn (Shale-hosted),,C,Aura Energy,Ann Rep 2013,"2,350",0.043
Huornaisenvuoma,Sweden,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.55,4.5
Rockliden,Sweden,VMS,,C,Boliden,Ann Rep 2013,10,4
Viken,Sweden,Sediment-hosted Pb-Zn (Shale-hosted),,C,Continental Precious Minerals,Tech Rep (2014-02),"3,062",0.042
Viscaria (A-B Zones),Sweden,IOCG?,,C,Avalon Minerals,Media (2011-11-29),41.26,0.19
Zinkgruven,Sweden,Sediment-hosted Pb-Zn,Sedex,C,Lundin Mining,Reserves-Resources 2013,26.2,7.7
Konimansur Kalon,Tajikistan,Epithermal?,,NC,Tajik Gov't,ILZSG database (2016-07-12),961,0.4
Harvest-Terakimti,Tanzania,VMS,,C,East Africa Metals,Tech Rep (2014-02),6.05,1.57
Mae Sod (Padaeng),Thailand,Sediment-hosted Pb-Zn,MVT,C,Padaeng Industries,Ann Rep 2013,1.61,10.3
Bou Jabeur-Gite de l'Est,Tunisia,Sediment-hosted Pb-Zn,MVT,C,unknown (formerly Maghreb Minerals plc),"Maghreb Mins. Pres. (Finex'08), Media 2007-12-13",8.84,2.17
Djebba,Tunisia,Sediment-hosted Pb-Zn,MVT,NC,unknown (formerly Maghreb Minerals plc),Ann Report (2007),2.7,6.14
Fej Lahdoum-Dar N’Hal Nord,Tunisia,Sediment-hosted Pb-Zn,MVT,C,unknown (formerly Maghreb Minerals plc),Media 2007-03-07,1.2,6
Kohol,Tunisia,Sediment-hosted Pb-Zn,MVT,NC,unknown (formerly Maghreb Minerals plc),Media 2006-12-07,0.4,1.75
Sidi at Taia (Sidi Taya),Tunisia,Sediment-hosted Pb-Zn,MVT,NC,unknown (formerly Maghreb Minerals plc),Media 2006-12-07,0.03,1.75
Zriba-Guebli,Tunisia,Sediment-hosted Pb-Zn,MVT,NC,unknown (formerly Maghreb Minerals plc),Media 2006-12-07,4,1
Bayindir,Turkey,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.9,7.5
Çayeli Bakir,Turkey,VMS,,C,First Quantum,Ann Info Form 2013,13.45,2.72
Çorak,Turkey,Epithermal,High sulfidation,C,Mediterranean Resources,Tech Rep (2011-08),4.8,0.98
Tufanbeyli Group,Turkey,Sediment-hosted Pb-Zn,MVT,C,Red Crescent Resources,Tech Rep (2011-08),6.25,1.68
Yenice,Turkey,Skarn,,C,Nesko,Türkiye (2013),0.923,2.85
Yenipazar,Turkey,VMS,,C,Aldridge Minerals,Tech Rep (2013-05),30.04,1.48
South Crofty,UK,Granite-related,????,C,Celeste Copper,Tech Rep (2012-10),3.5,0.29
Back Forty,USA,VMS,,C,Aquila Resources Inc,Tech Rep (2014-07),17.471,2.95
Blue Moon,USA,VMS,,C,Savant Explorations,Tech Rep (2008-02),5.57,5.6
C.O.D.-Kingman,USA,Mesothermal Vein,,NC,ARS Mining,Tech Rep (2008-07),1.265,3.5
C.O.D.-Kingman Tailings,USA,Mesothermal Vein Tailings,,TNC,ARS Mining,Tech Rep (2008-07),0.047,0.65
Coeur-Galena Complex (Pb-Ag only),USA,Mesothermal Vein,Coeur D'Alene district,C,US Silver & Gold,Tech Rep (2013-03),2.16,
East Tennessee (Coy-Immel-Young),USA,Sediment-hosted Pb-Zn,MVT,C,Nyrstar,Reserves-Resources 2013,30.62,3.84
Empire,USA,Skarn,,NC,Musgrove Minerals,Tech Rep (2006-09),27.88,0.23
Greens Creek,USA,VMS,,C,Hecla Mining,Website (2014-10-26),9.934,8.1
Lik,USA,Sediment-hosted Pb-Zn,Sedex,C,Zazu Metals Corp,Ann Info Form 2013,23.45,8.23
Lone Mountain-Upper Lake Valley,USA,Skarn,,NC,Copper One,Tech Rep 2009-11,6.7,5
Lucky Friday,USA,Mesothermal Vein,Coeur D'Alene district,C,Hecla Mining,Website (2014-10-26),32.191,1.2
Middle Tennessee (Gordonsville-Elmwood-Cumberland),USA,Sediment-hosted Pb-Zn,MVT,C,Nyrstar,Reserves-Resources 2013,20.1,3.7
Montana Tunnels (M-pit),USA,Porphyry,Au,C,Eastern Resources,Reserves-Resources 2008,34.272,0.48
Niblack (Lookout-Trio),USA,VMS,,C,Heatherdale Resources,Website (2014-01-14),9.03,1.56
Pend Oreille (Yellowhead),USA,Sediment-hosted Pb-Zn,MVT,C,Teck,Ann Info Form 2013,6.6,6.4
Red Dog,USA,Sediment-hosted Pb-Zn,Sedex,C,Teck,Ann Info Form 2013,53.1,17.2
Reef Ridge,USA,Sediment-hosted Pb-Zn,MVT,NC,Doyon,Leach et al (2005),11.8,0.99
Revenue (Virginius),USA,Epithermal,,C,Fortune Minerals,Tech Rep (2014-07),1.027,1.15
Revenue (Yellow Rose),USA,Epithermal,,C,Fortune Minerals,Tech Rep (2014-07),0.321,1.62
San Juan,USA,Epithermal,Low sulfidation,C,Hecla Mining,Website (2014-10-26),3.26,1.1
Silver Valley-Star,USA,Mesothermal Vein,Coeur D'Alene district,C,Hecla Mining,Website (2014-10-26),3.444,6.2
Sunshine (inferred only),USA,IOCG,,C,Sunshine Silver Mines,Tech Rep (2012-12),8.269,0.02
Su-Lik,USA,Sediment-hosted Pb-Zn,,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,34,8
Upper Kobuk-Arctic,USA,VMS,,C,NovaCopper,Tech Rep (2013-02),27.21,4.37
West Desert (Crypto),USA,Skarn,,C,InZinc Mining (formerly Lithic Res.),Tech Rep (2014-05),71.11,1.88
Khandiza,Uzbekistan,VMS,,C,Marakand Minerals,Website (2014-10-07; also Oxus Gold),14.41,7.24
Parys Mountain,Wales,VMS,,C,Anglesey Mining,Tech Rep (2012-11),25.775,1.1
Jabali,Yemen,Sediment-hosted Pb-Zn,Non-sulfide Zinc deposit,C,unknoown,Mondillo et al 2014,12.6,8.9
Jabali Stockpile,Yemen,Sediment-hosted Pb-Zn,Non-sulfide Zinc deposit,SNC,unknoown,Mondillo et al 2014,0.12,24
Kabwe,Zambia,Sediment-hosted Pb-Zn,MVT,NC,Berkley Mineral Resources,ILZSG database (2016-07-12),1.1,15
Kabwe Tailings,Zambia,Sediment-hosted Pb-Zn,MVT,NC,Berkley Mineral Resources,ILZSG database (2016-07-12),0.6,10.5
