Deposit,Country,Primary Deposit Type,Secondary Deposit Type,,Company,Source,Mt ore,%Zn
Woodlawn Underground,Australia,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,C,TriAusMin,Ann Rep 2013,10.1,10.15
Zeehan Group Slag,Australia,VMS Slag,VMS Slag,TC,Intec Ltd,"Ann Rep 2007, 2013",0.42,13.6
Filizchay (Filizchai),Azerbaijan,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Azerbaijan Gov't website (2015-04-24),95,3.63
Bolivar,Bolivia,Epithermal,Bolivian Polymetallic vein type?,C,Glencore Xstrata,Reserves-Resources 2013,4.1,9.8
Caballo Blanco,Bolivia,Epithermal?,Bolivian Polymetallic vein type?,C,Glencore Xstrata,Reserves-Resources 2013,2.33,8.7
La Solución Tailings,Bolivia,Epithermal ? Tailings,Bolivian Polymetallic vein type?,TC,Apogee Minerals,Tech Rep (2007-11),0.365,2.23
La Solución-Veta Hampaturi Sur,Bolivia,Epithermal,Bolivian Polymetallic vein type?,C,Apogee Minerals,Tech Rep (2007-05),0.12,5.1
Malku Khota,Bolivia,Sediment-hosted Pb-Zn,Sedex,C,South American Silver Corp,Tech Rep (2011-05),485.01,0.04
Paca,Bolivia,Epithermal,,C,Apogee Minerals,Tech Rep (2007-05),18.416,1.16
Poopo,Bolivia,Epithermal?,,C,Glencore Xstrata,Reserves-Resources 2013,2.23,6.2
Porco,Bolivia,Epithermal?,,C,Glencore Xstrata,Reserves-Resources 2013,2.35,9.2
Pulacayo-Paya,Bolivia,Epithermal,,C,"Apogee Minerals, COMIBOL",Tech Rep (2013-01),20.74,1.37
San Vicente (Bolivia),Bolivia,Epithermal,,C,Pan American Silver Corp.,Ann Info Form 2013,6.6,2.57
Kihabe,Botswana,Sediment-hosted Pb-Zn,Sedex,C,Mt Burgess Mining,Ann Rep 2012,14.4,1.75
Nxuu,Botswana,Sediment-hosted Pb-Zn,,C,Mt Burgess Mining,Ann Rep 2012,10.9,1.8
Aripuanã (Ambrex-Arex-Expedito-Valley),Brazil,VMS,,C,"Votorantim Metais-70%, Karmin Expl-30%",Tech Rep (2013-02),33.8,4.26
Boquira,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Misi et al (1999),7,0.6
Canoas,Brazil,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Misi et al (1999),1.5,3.5
Fagundes,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),3,4.5
Irecê,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Misi et al (1999),1.5,7.9
Januaria,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),0.1,4
Morro Agudo,Brazil,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Cunha et al (2000),9.47,6.13
Nova Redenção (New Redemption),Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Filho et al (2001),5.2,0.5
Palmeirópolis,Brazil,VMS,,C,unknown,Brandão et al (2000),6.89,4.54
Perau,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),3.3,1.88
S. Maria,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Misi et al (1999),46,0.9
Tres Irmas,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),7,7.6
Vazante,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Monteiro et al (2007),18.8,23.7
Perkoa,Burkina Faso,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,12.96,9.8
Abcourt-Barvue,Canada,VMS,,C,Abcourt Mines Inc,Tech Rep (2014-04),10.127,3.03
Akie-Cardiac Creek,Canada,Sediment-hosted Pb-Zn,Sedex,C,Canada Zinc Metals,Tech Rep (2012-05),68.19,5.2
Aldermac,Canada,VMS,,NC,Abcourt Mines,Ann Info Form 2011,1.54,3
Amy,Canada,Sediment-hosted Pb-Zn,?,NC,unknown,BC OFR (1998-10),0.072,6.03
Andrew (Lad),Canada,Mesothermal Vein,,C,Overland Resources,Ann Rep 2013,7.76,5.8
Atlin-Ruffner,Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.114,
Barvallée,Canada,VMS,,C,Abcourt Mines,Tech Rep (2013-02),0.276,4.39
Bear,Canada,VMS,,NC,unknown (Solid Res. Now Iberian Mins.??),NWT Guide 2007,1.136,5.1
Bear-Twit,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,NWT Guide 2007,9.07,5.4
Belfort (Roymont),Canada,VMS,,C,Abcourt Mines,Tech Rep (2013-02),0.067,5.71
Bend 1 (Canyon Zone),Canada,Sediment-hosted Pb-Zn,SEDEX,NC,unknown,BC OFR (1998-10),5,0.6
Berrigan North (Taché),Canada,VMS,,NC,Chibougamau Independent Mines Inc,Tech Rep (2012-08),1.389,3.17
Berrigan South (Lac Taché),Canada,VMS,,NC,Chibougamau Independent Mines Inc,Tech Rep (2012-08),0.26,3.05
Beveley,Canada,Sediment-hosted Pb-Zn,MVT?,NC,unknown,BC OFR (1998-10),2.721,
Big Bull,Canada,VMS,,C,Chieftain Metals,Tech Rep (2010-11),0.96,5.03
Big Ledge,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,6.5,4
Big Showing (Teddy Glacier),Canada,Sediment-hosted Pb-Zn,MVT,NC,Jazz Resources,Tech Rep (2007-11),0.044,6.74
Blende,Canada,Sediment-hosted Pb-Zn,MVT,C,Blind Creek Resources (formerly Eagle Plains Res.),Tech Rep (2007-08),19.6,3.04
Bobby's Pond,Canada,VMS,,C,Mountain Lake Resources,Tech Rep (2008-09),2.27,4.16
Boomerang-Domino (Tulks South),Canada,VMS,,C,Canadian Zinc Corp,Tech Rep (2007-08),2.077,6.82
Bowler Creek,Canada,VMS,VMS,NC,unknown,BC OFR (1998-10),0.296,2.58
Brabant Lake,Canada,VMS,,C,Manicougan Minerals,Tech Rep (2008-09),4.45,6.75
Bracemac-McLeod,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,5.88,8.87
Brandywine-Silver Tunnel-Northair,Canada,VMS,,NC,unknown,BC OFR (1998-10),0.497,0.26
Buckton-Buckton South,Canada,Shale-hosted,,C,DNI Metals,Tech Rep (2014-01),"5,008.70",0.017
Cadieux,Canada,Sediment-hosted Pb-Zn,,NC,unknown,"(see Gatineau, Midland Expl'n)",1.25,9.4
Caledonia,Canada,Skarn,,NC,unknown,"BC OFR (1998-10), MINFILE 092L-061",0.07,7.45
Caribou,Canada,VMS,,C,Trevali Mining Corp.,Tech Rep (2013-11),10.89,6.98
Cassiar Camp,Canada,Skarn-Manto,,NC,unknown,BC OFR (1998-10),0.905,3.49
Chester,Canada,VMS,,C,Explor Resources,Tech Rep (2014-04),4.014,0.02
Chu Chua,Canada,VMS,,C,Reva Resources,Tech Rep (2013-10),2.827,0.32
Cirque-South Cirque,Canada,Sediment-hosted Pb-Zn,Sedex,NC,"Teck Resources-50%, Korea Zinc-50%",(Canada Zinc Metals; Tech Rep 2012-05 Pie),54,7.7
CK,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,BC OFR (1998-10),1.49,8.6
Clark,Canada,Skarn-manto,,NC,unknown,Yukon Gov't Zn profile,0.327,4.6
Clear Lake,Canada,Sediment-hosted Pb-Zn,,C,Golden Predator (formerly Redtail Metals),Tech Rep (2010-02),9.21,6.6
Colby (Kingfisher-Noreen),Canada,Sediment-hosted Pb-Zn,Sedex,NC,Rich River Exploration (?),Corp Brochure,1.8,2.6
Comstock (Canada),Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.043,10
Copper Crown,Canada,Epithermal,Low sulfidation?,NC,unknown,BC OFR (1998-10),0.317,4.23
Cottonbelt,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,BC OFR (1998-10),1,2
Coulon,Canada,VMS,,C,Virginia Mines Inc,Tech Rep (2009-05),13.73,3.84
Craig,Canada,Sediment-hosted Pb-Zn,MVT,C,Glencore Xstrata (?),Yukon Gov't Zn profile,0.875,8.5
Cronin,Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.16,8.12
Damascus,Canada,Epithermal,High sulfidation?,NC,Gold Reach Resources,Website (2016-07-11),0.196,4.7
Darcy,Canada,Mesothermal Vein,,C,Overland Resources,Ann Rep 2013,5.55,4.7
Darin,Canada,Mesothermal Vein,,C,Overland Resources,Ann Rep 2013,0.36,4
DEB,Canada,VMS,,NC,Seabridge Gold (?),NWT Guide 2007,1.02,2.96
De Maurès,Canada,VMS,,NC,unknown,Vior Expl. & Mining website (2014-07-27),0.35,7.84
Domergue-Anomaly E,Canada,VMS,,NC,unknown,Vior Expl. & Mining website (2014-07-27),0.03,5.51
Driftpile Creek,Canada,Sediment-hosted Pb-Zn,Sedex,NC,Teck Resources,(Canada Zinc Metals; Tech Rep 2012-05 Pie),2.44,11.9
Duck Pond,Canada,VMS,,C,Teck,Ann Info Form 2013,1.7,4.4
Duncan,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,BC Geol Surv,2.76,3.1
Duthie,Canada,VMS,,NC,Silver Standard,BC OFR (1998-10),0.075,7.1
East Kemptville,Canada,Skarn (Greisen),,C,Avalon Rare Metals,Factsheet,80.36,0.12
