Country,Project,Lat,Long,Mine,Source,Ni basis,Co basis,Mineral Deposit Type Primary,Mineral Deposit Type Secondary,Mineral Deposit Type Other Notes,Category,Mt,%Ni,%Co
Australia,Brown's-Brown's East,,,China Minmetals,QR 2008-06,C,C,Magmatic Sulphide,Sediment-hosted polymetallic,,Inferred,26.7,0.09,0.09
Norway,Bruvann (Råna),,,unknown,Boyd et al (2016),NC,NC,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,9.15,0.36,0.01
Canada,Bucko Lake,,,unknown,Tech Rep (2012-10),C,C,Magmatic Sulphide,Proterozoic Komatiite-related,Thompson Belt,Measured,1.367,1.397037307973665,0.023
Canada,Bucko Lake,,,unknown,Tech Rep (2012-10),C,C,Magmatic Sulphide,Proterozoic Komatiite-related,Thompson Belt,Indicated,4.839,1.3988448026451745,0.023
Canada,Bucko Lake,,,unknown,Tech Rep (2012-10),C,C,Magmatic Sulphide,Proterozoic Komatiite-related,Thompson Belt,Inferred,5.043,1.41,0.023
Canada,Bucko Lake,,,unknown,Tech Rep (2012-10),C,C,Magmatic Sulphide,Proterozoic Komatiite-related,Thompson Belt,Proven,0.616,1.43,0.023
Canada,Bucko Lake,,,unknown,Tech Rep (2012-10),C,C,Magmatic Sulphide,Proterozoic Komatiite-related,Thompson Belt,Probable,1.994,1.44,0.023
Canada,Buckton-Buckton South,,,DNI Metals,"Tech Rep's (2013-03, 2014-01)",C,C,Hydrothermal Ni,Shale-hosted Ni,Sediment-hosted Pb-Zn/VMS,Indicated,271.934,0.00703,0.00165
Canada,Buckton-Buckton South,,,DNI Metals,"Tech Rep's (2013-03, 2014-01)",C,C,Hydrothermal Ni,Shale-hosted Ni,Sediment-hosted Pb-Zn/VMS,Inferred,4937.08,0.0067792575206397305,0.0015289933969066735
Indonesia,Buli,,,unknown,Berger et al (2011),NC,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Inferred,194.6,1.1,
Russia,Buruktal,,,Mechel Steel Group OAO (MTL),"Form 20F (2011, 2012)",NC,NC,Laterite,Hydrous Mg silicate-Oxide,,Inferred,70.36850000000001,0.85736146144937,0.1
Australia,Byro East,,,Athena Resources,WA MINEDEX,C,,Magmatic Sulphide,Layered Intrusive,,Inferred,0.1,1.4,
Brazil,Caboclo dos Mangueiros,,,unknown,Matos & Ferreira Filho (2018),NC,NC,Magmatic Sulphide,Layered Intrusive,,Inferred,200.0,0.2,0.016
Philippines,Cagdianao (GFH),,,Global Ferronickel Holdings,AR 2017,C,,Laterite,Oxide,Oxide,Measured,32.775,1.1,
Philippines,Cagdianao (GFH),,,Global Ferronickel Holdings,AR 2017,C,,Laterite,Oxide,Oxide,Indicated,21.385,1.2,
Philippines,Cagdianao (GFH),,,Global Ferronickel Holdings,AR 2017,C,,Laterite,Oxide,Oxide,Proven,25.081603,1.17,
Philippines,Cagdianao (GFH),,,Global Ferronickel Holdings,AR 2017,C,,Laterite,Oxide,Oxide,Probable,11.261068,1.34,
Philippines,Cagdianao (NAC),,,Nickel Asia Corp,AR 2018,C,,Laterite,Oxide,Oxide,Indicated,31.697000000000003,1.2990525917279239,
Philippines,Cagdianao (NAC),,,Nickel Asia Corp,AR 2018,C,,Laterite,Oxide,Oxide,Inferred,2.4829999999999997,1.1862988320579944,
Philippines,Cagdianao (NAC),,,Nickel Asia Corp,AR 2018,C,,Laterite,Oxide,Oxide,Probable,25.215,1.3425282569898869,
Cuba,Cajálbana,,,unknown (Cuban Gov't?),Berger et al (2011),NC,,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,Inferred,44.8,1.11,
Australia,Camelback Bore East,,,Glencore,WA MINEDEX,C,C,Laterite,Oxide,Oxide,Inferred,4.65,0.98,0.069
Canada,Canalask-Onion,,,Victoria Gold Corp,YGS (2009),NC,,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,0.390235,1.35,
Australia,Carr Boyd,,,Estrella Resources,WA MINEDEX,C,,Magmatic Sulphide,Archean Komatiite,,Indicated,0.576,1.39375,
Australia,Carr Boyd,,,Estrella Resources,WA MINEDEX,C,,Magmatic Sulphide,Archean Komatiite,,Inferred,0.025,1.568,
Philippines,Carrascal,,,Carrascal Nickel,Sajona & Domingo (2011),NC,,Laterite,Oxide-Hydrous Mg silicate,,Inferred,21.0,1.1,
Philippines,Casiguran,,,Century Peak Metals,AR 2015,C,,Laterite,Oxide-Hydrous Mg silicate,Oxide-Hydrous Mg silicate,Indicated,9.897,1.02,
Canada,Cat Lake-New Manitoba,,,unknown,Yang et al (2014),NC,,Magmatic Sulphide,Layered Intrusive,,Inferred,2.0,0.33,
Australia,Cawse,,,Wingstar Investments (?),WA MINEDEX,C,C,Laterite,Oxide,Oxide,Indicated,55.518,0.717,0.04
Australia,Cawse,,,Wingstar Investments (?),WA MINEDEX,C,C,Laterite,Oxide,Oxide,Proven,3.757,0.65,0.04
Colombia,Cerro Matoso,,,South32,AR 2018,C,,Laterite,Clay silicate-hydrous Mg silicate-oxide,Clay silicate-hydrous Mg silicate-oxide,Measured,66.0,0.9272727272727272,
Colombia,Cerro Matoso,,,South32,AR 2018,C,,Laterite,Clay silicate-hydrous Mg silicate-oxide,Clay silicate-hydrous Mg silicate-oxide,Indicated,183.0,0.9000000000000001,
Colombia,Cerro Matoso,,,South32,AR 2018,C,,Laterite,Clay silicate-hydrous Mg silicate-oxide,Clay silicate-hydrous Mg silicate-oxide,Inferred,17.0,0.2,
Colombia,Cerro Matoso,,,South32,AR 2018,C,,Laterite,Clay silicate-hydrous Mg silicate-oxide,Clay silicate-hydrous Mg silicate-oxide,Proven,22.3,1.2627802690582959,
Colombia,Cerro Matoso,,,South32,AR 2018,C,,Laterite,Clay silicate-hydrous Mg silicate-oxide,Clay silicate-hydrous Mg silicate-oxide,Probable,14.9,1.2,
Russia,Cheremshanskoe ,,,unknown,Berger et al (2011),NC,NC,Laterite,Hydrous Mg silicate-Oxide,,Inferred,45.0,1.6,0.024
