Country,Project,Lat,Long,Company,Category,Mt ore,%Ni
Australia,Nico Young-Ardnaree,,,Jervois Mining,Inferred,53.6,0.66
Australia,Nico Young-Thuddungra,,,Jervois Mining,Measured,0,
Australia,Nico Young-Thuddungra,,,Jervois Mining,Indicated,0,
Australia,Nico Young-Thuddungra,,,Jervois Mining,Inferred,114.3,0.56
Australia,KNP Yerilla: Jump-Up Dam,,,Ardea Resources,Measured,3.8,0.94
Australia,KNP Yerilla: Jump-Up Dam,,,Ardea Resources,Indicated,41.6,0.78
Australia,KNP Yerilla: Jump-Up Dam,,,Ardea Resources,Inferred,18.4,0.63
Australia,KNP Yerilla: Boyce Creek,,,Ardea Resources,Measured,0,
Australia,KNP Yerilla: Boyce Creek,,,Ardea Resources,Indicated,26.8,0.77
Australia,KNP Yerilla: Boyce Creek,,,Ardea Resources,Inferred,0,
Australia,KNP Yerilla: Aubils,,,Ardea Resources,Measured,0,
Australia,KNP Yerilla: Aubils,,,Ardea Resources,Indicated,0,
Australia,KNP Yerilla: Aubils,,,Ardea Resources,Inferred,49.4,0.70
Australia,Wilconi (Wiluna),,,A-Cap Resources,Measured,0,
Australia,Wilconi (Wiluna),,,A-Cap Resources,Indicated,0,
Australia,Wilconi (Wiluna),,,A-Cap Resources,Inferred,80.5,0.77
Australia,Nyngan-West Lynn,,,Alchemy Resources,Measured,0,
Australia,Nyngan-West Lynn,,,Alchemy Resources,Indicated,0,
Australia,Nyngan-West Lynn,,,Alchemy Resources,Inferred,14.70,0.85
Australia,Nyngan-Summervale,,,Alchemy Resources,Measured,0,
Australia,Nyngan-Summervale,,,Alchemy Resources,Indicated,0,
Australia,Nyngan-Summervale,,,Alchemy Resources,Inferred,6.64,0.82
Australia,Waite Kauri North / Extended,,,unclear,Measured,0,
Australia,Waite Kauri North / Extended,,,unclear,Indicated,0,
Australia,Waite Kauri North / Extended,,,unclear,Inferred,3.917,1.04
Australia,Riverina-Martins,,,Carnegie Gold,Measured,0,
Australia,Riverina-Martins,,,Carnegie Gold,Indicated,2.20,1.01
Australia,Riverina-Martins,,,Carnegie Gold,Inferred,0,
Australia,Waite Kauri-Eagle Eye,,,Golden Mile Resources,Measured,0,
Australia,Waite Kauri-Eagle Eye,,,Golden Mile Resources,Indicated,0,
Australia,Waite Kauri-Eagle Eye,,,Golden Mile Resources,Inferred,2.53,0.7
Australia,Lady Byron,,,Australian Jade Mining,Measured,0,
Australia,Lady Byron,,,Australian Jade Mining,Indicated,0,
Australia,Lady Byron,,,Australian Jade Mining,Inferred,2.8,1.11
Australia,Collerina-Homeville,,,Alpha HPA,Measured,0,
Australia,Collerina-Homeville,,,Alpha HPA,Indicated,2.2,0.97
Australia,Collerina-Homeville,,,Alpha HPA,Inferred,18.8,0.84
Australia,Jimberlana-Bronzite Ridge,,,Thousand Island Resources,Measured,0,
Australia,Jimberlana-Bronzite Ridge,,,Thousand Island Resources,Indicated,0,
Australia,Jimberlana-Bronzite Ridge,,,Thousand Island Resources,Inferred,4.31,1.02
Australia,Weld Range (Ni-Cr),,,Podium Metals,Measured,0,
Australia,Weld Range (Ni-Cr),,,Podium Metals,Indicated,0,
Australia,Weld Range (Ni-Cr),,,Podium Metals,Inferred,63.5,0.38
Australia,Weld Range (laterite),,,Podium Metals,Measured,0,
Australia,Weld Range (laterite),,,Podium Metals,Indicated,0,
Australia,Weld Range (laterite),,,Podium Metals,Inferred,330,0.75
